交易时间	公众账号ID	商户号	特约商户号	设备号	微信订单号	商户订单号	用户标识	交易类型	交易状态	付款银行	货币种类	应结订单金额	代金券金额	微信退款单号	商户退款单号	退款金额	充值券退款金额	退款类型	退款状态	公司名称	商户数据包	手续费	费率	订单金额	申请退款金额	费率备注				值	
`2020-08-06 18:03:38	`wx271ae48b10918188	`1516858981	`0	`	`4200000579202008068359752522	`550650047085700449	`oJdiI1PLhf7XmTz802iOjAU9sSmY	`NATIVE	`SUCCESS	`OTHERS	`CNY	`2.00	`0.00	`0	`0	`0.00	`0.00	`	`	聚思鸿	`r	`0.01000	`0.60%	2	0	`			欧菲	206	0
`2020-08-06 19:37:23	`wx271ae48b10918188	`1516858981	`0	`	`4200000595202008069565387782	`980650053583165736	`oJdiI1OJLBsSOEWEZXt_CtwR7fwY	`JSAPI	`SUCCESS	`OTHERS	`CNY	`1.00	`0.00	`0	`0	`0.00	`0.00	`	`	拉格代尔商业（上海）有限公司	`r	`0.01000	`0.60%	1	0	`			森马	14	0
`2020-08-07 13:12:51	`wx271ae48b10918188	`1516858981	`0	`	`4200000589202008075880636292	`600650121128607916	`oJdiI1CGHgCxLjAsCtN3PTRIOxJw	`NATIVE	`SUCCESS	`OTHERS	`CNY	`12.00	`0.00	`0	`0	`0.00	`0.00	`	`	文思海辉	`r	`0.07000	`0.60%	12	0	`			上海伏达半导体有限公司	38	0
`2020-08-07 20:52:32	`wx271ae48b10918188	`1516858981	`0	`	`4200000586202008075511274694	`220650148666037635	`oJdiI1PxmGh3b26KYsyy3KGXKX9g	`NATIVE	`SUCCESS	`CITIC_CREDIT	`CNY	`7.00	`0.00	`0	`0	`0.00	`0.00	`	`	广汽菲克	`r	`0.04000	`0.60%	7	0	`			天职咨询	27	0
`2020-08-08 19:48:09	`wx271ae48b10918188	`1516858981	`0	`	`4200000572202008085045416563	`200650231119598314	`oJdiI1HKeGY6yDttVlOWddvkNdVM	`NATIVE	`SUCCESS	`OTHERS	`CNY	`6.00	`0.00	`0	`0	`0.00	`0.00	`	`	美克家居	`r	`0.04000	`0.60%	6	0	`			卫展	487	0
`2020-08-10 09:50:54	`wx271ae48b10918188	`1516858981	`0	`	`4200000575202008105320622251	`780650368000065440	`oJdiI1FUg7pw02bqV0VDqGoRQayY	`JSAPI	`SUCCESS	`OTHERS	`CNY	`12.00	`0.00	`0	`0	`0.00	`0.00	`	`	华住集团	`r	`0.07000	`0.60%	12	0	`			文思海辉	118	0
`2020-08-10 11:22:11	`wx271ae48b10918188	`1516858981	`0	`	`4200000589202008102849046772	`340650373655576011	`oJdiI1J86fEubB-xG9GoHRWcdAeA	`NATIVE	`SUCCESS	`CCB_DEBIT	`CNY	`50.00	`0.00	`0	`0	`0.00	`0.00	`	`	华住集团	`r	`0.30000	`0.60%	50	0	`			文思海辉BG2	12	0
`2020-08-10 13:43:12	`wx271ae48b10918188	`1516858981	`0	`	`4200000576202008109756507939	`690650382067226761	`oJdiI1Drc01OIcJrrP3SmUVIDhH4	`NATIVE	`SUCCESS	`CMB_DEBIT	`CNY	`14.00	`0.00	`0	`0	`0.00	`0.00	`	`	文思海辉	`r	`0.08000	`0.60%	14	0	`			易鑫	171	0
`2020-08-10 16:06:10	`wx271ae48b10918188	`1516858981	`0	`	`4200000581202008100025900839	`110650390704765459	`oJdiI1F5rFG5zHADYHQBTwuDPKRg	`NATIVE	`SUCCESS	`BOB_DEBIT	`CNY	`27.00	`0.00	`0	`0	`0.00	`0.00	`	`	天职咨询	`r	`0.16000	`0.60%	27	0	`			浙江正泰新能源开发有限公司	100	0
`2020-08-11 09:20:51	`wx271ae48b10918188	`1516858981	`0	`	`4200000586202008118629313067	`370650452750040262	`oJdiI1FjhGRuEjTATNYDzEsxPK-c	`JSAPI	`SUCCESS	`OTHERS	`CNY	`13.00	`0.00	`0	`0	`0.00	`0.00	`	`	美克家居	`r	`0.08000	`0.60%	13	0	`			(空白)		
